id,level,word,article,plural,translation,example,partOfSpeech,topic,tags,lessonId
,B2,die Verbraucheranalyse,die,die Verbraucheranalysen,consumer analysis,Die Verbraucheranalyse zeigt Trends.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,die Preisgestaltung,die,,pricing,Die Preisgestaltung ist flexibel.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,der Markenwert,der,die Markenwerte,brand value,Der Markenwert ist gestiegen.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,die Produktpalette,die,die Produktpaletten,product range,Die Produktpalette wurde erweitert.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,die Imagekampagne,die,die Imagekampagnen,image campaign,Die Imagekampagne verbessert das Ansehen.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,das Kundenfeedback,das,,customer feedback,Das Kundenfeedback ist positiv.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,der Nielsen-Rating,der,,Nielsen rating,Der Nielsen-Rating misst die Einschaltquote.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,die Werbeagentur,die,die Werbeagenturen,advertising agency,Die Werbeagentur entwickelt die Kampagne.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,der Werbespot,der,die Werbespots,commercial,Der Werbespot läuft im Fernsehen.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,die Anzeigenkampagne,die,die Anzeigenkampagnen,ad campaign,Die Anzeigenkampagne startet im Januar.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,die Social-Media-Strategie,die,,social media strategy,Die Social-Media-Strategie wird ausgearbeitet.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,die Konsumgesellschaft,die,,consumer society,Die Konsumgesellschaft produziert viel Müll.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,die Kundenbindung,die,,customer loyalty,Kundenbindung ist ein wichtiges Ziel.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,die Verschlüsselung,die,die Verschlüsselungen,encryption,Die Verschlüsselung schützt Daten.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Schnittstelle,die,die Schnittstellen,interface,Die Schnittstelle verbindet Systeme.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Programmiersprache,die,die Programmiersprachen,programming language,Python ist eine Programmiersprache.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Firewall,die,die Firewalls,firewall,Die Firewall blockiert Angriffe.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,der Speicherplatz,der,die Speicherplätze,storage space,Der Speicherplatz reicht nicht.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Aktualisierung,die,die Aktualisierungen,update,Die Aktualisierung ist fertig.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,das Passwort,das,die Passwörter,password,Das Passwort wurde geändert.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,der Benutzername,der,die Benutzernamen,username,Der Name ist vergeben.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Suchmaschine,die,die Suchmaschinen,search engine,Google ist eine Suchmaschine.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Datenbank,die,die Datenbanken,database,Die Datenbank ist aktualisiert.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,das Betriebssystem,das,die Betriebssysteme,operating system,Windows ist ein Betriebssystem.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Fehlermeldung,die,die Fehlermeldungen,error message,Die Meldung erscheint beim Start.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Installation,die,die Installationen,installation,Die Installation ist einfach.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Authentifizierung,die,die Authentifizierungen,authentication,Die Authentifizierung ist erforderlich.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,der Algorithmus,der,die Algorithmen,algorithm,Der Algorithmus ist effizient.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Cloud,die,,cloud,Die Daten sind in der Cloud.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Sicherheitslücke,die,die Sicherheitslücken,security gap,Die Lücke wurde geschlossen.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Softwarelizenz,die,die Softwarelizenzen,software license,Die Lizenz ist abgelaufen.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,der Bildschirm,der,die Bildschirme,screen,Der Bildschirm ist groß.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,der Browser,der,die Browser,browser,Der Browser ist aktuell.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die E-Mail-Adresse,die,die E-Mail-Adressen,email address,Bitte geben Sie Ihre Adresse an.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Tastatur,die,die Tastaturen,keyboard,Die Tastatur ist kabellos.,noun,Technology and digital life,b2;tech,B2_lesson_general
,B2,die Diagnose,die,die Diagnosen,diagnosis,Die Diagnose wurde bestätigt.,noun,Healthcare,b2;medical,B2_lesson_general
,B2,der Blutdruck,der,,blood pressure,Der Blutdruck ist normal.,noun,Healthcare,b2;medical,B2_lesson_general
,B2,die Blutprobe,die,die Blutproben,blood sample,Die Probe wird untersucht.,noun,Healthcare,b2;medical,B2_lesson_general
,B2,der Facharzt,der,die Fachärzte,specialist,Der Facharzt wurde überwiesen.,noun,Healthcare,b2;medical,B2_lesson_general
,B2,die Krankenakte,die,die Krankenakten,medical record,Die Akte ist vertraulich.,noun,Healthcare,b2;medical,B2_lesson_general
,B2,die Wunde,die,die Wunden,wound,Die Wunde heilt gut.,noun,Healthcare,b2;medical,B2_lesson_general
,B2,die Therapie,die,die Therapien,therapy,Die Therapie hilft.,noun,Healthcare,b2;medical,B2_lesson_general
,B2,stationär,,,inpatient,Der Patient wird stationär aufgenommen.,adjective,Healthcare,b2;medical,B2_lesson_general
,B2,ambulant,,,outpatient,Die Behandlung ist ambulant.,adjective,Healthcare,b2;medical,B2_lesson_general
,B2,der Impfstoff,der,die Impfstoffe,vaccine,Der Impfstoff ist verfügbar.,noun,Healthcare,b2;medical,B2_lesson_general
,B2,chronisch,,,chronic,Die Erkrankung ist chronisch.,adjective,Healthcare,b2;medical,B2_lesson_general
,B2,die Krankheit,die,die Krankheiten,illness,Die Krankheit heilt aus.,noun,Healthcare,b2;medical,B2_lesson_general
,B2,der Arzttermin,der,die Arzttermine,appointment,Der Termin ist um zehn.,noun,Healthcare,b2;medical,B2_lesson_general
,B2,die Notaufnahme,die,die Notaufnahmen,emergency room,Die Notaufnahme ist voll.,noun,Healthcare,b2;medical,B2_lesson_general
,B2,die Erderwärmung,die,,global warming,Die Erderwärmung schreitet voran.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,die Solarenergie,die,,solar energy,Solarenergie ist sauber.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,die Windkraft,die,,wind power,Windkraft erzeugt Strom.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,das Ökosystem,das,die Ökosysteme,ecosystem,Das Ökosystem ist bedroht.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,die Artenvielfalt,die,,biodiversity,Die Artenvielfalt nimmt ab.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,der Treibhauseffekt,der,,greenhouse effect,Der Effekt wird verstärkt.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,der Recyclinghof,der,die Recyclinghöfe,recycling center,Der Hof nimmt Elektroschrott an.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,die Luftverschmutzung,die,,air pollution,Die Luft ist verschmutzt.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,die Abgase,die,,exhaust fumes,Abgase belasten die Luft.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,der CO2-Ausstoß,der,,CO2 emissions,Der Ausstoß muss sinken.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,ökologisch,,,ecological,Ökologische Landwirtschaft ist besser.,adjective,Environment and climate,b2;environment,B2_lesson_general
,B2,die Kläranlage,die,die Kläranlagen,sewage plant,Die Anlage reinigt das Wasser.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,der Artenschutz,der,,species protection,Artenschutz ist nötig.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,die Umweltpolitik,die,,environmental policy,Die Politik wurde kritisiert.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,der Klimaschutz,der,,climate protection,Klimaschutz geht uns alle an.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,die Umweltbelastung,die,,environmental burden,Die Belastung ist zu hoch.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,ressourcenschonend,,,resource efficient,Das Verfahren ist ressourcenschonend.,adjective,Environment and climate,b2;environment,B2_lesson_general
,B2,emissionsfrei,,,emission free,Das Auto fährt emissionsfrei.,adjective,Environment and climate,b2;environment,B2_lesson_general
,B2,die Müllvermeidung,die,,waste prevention,Müllvermeidung ist am besten.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,die Erneuerbare Energie,die,,renewable energy,Erneuerbare sind die Zukunft.,noun,Environment and climate,b2;environment,B2_lesson_general
,B2,das Gericht,das,die Gerichte,court,Das Gericht entscheidet.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,das Urteil,das,die Urteile,verdict,Das Urteil ist gefallen.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,der Kläger,der,die Kläger,plaintiff,Der Kläger fordert Schadenersatz.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,die Klage,die,die Klagen,lawsuit,Die Klage wurde eingereicht.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,der Vertragsbruch,der,die Vertragsbrüche,breach of contract,Der Bruch hatte Folgen.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,das Grundgesetz,das,,Basic Law,Das Grundgesetz schützt Rechte.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,die Verordnung,die,die Verordnungen,regulation,Die Verordnung trat in Kraft.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,das Widerrufsrecht,das,,right of withdrawal,Das Recht gilt 14 Tage.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,der Kaufvertrag,der,die Kaufverträge,purchase contract,Der Vertrag ist unterschrieben.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,die Mietkaution,die,die Mietkautionen,security deposit,Die Kaution wird zurückgezahlt.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,anfechten,,,to contest,Er ficht die Entscheidung an.,verb,Law and consumer rights,b2;law,B2_lesson_general
,B2,verklagen,,,to sue,Er verklagt die Firma.,verb,Law and consumer rights,b2;law,B2_lesson_general
,B2,die Straftat,die,die Straftaten,criminal offense,Die Tat wurde gemeldet.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,der Rechtsanwalt,der,die Rechtsanwälte,lawyer,Der Anwalt berät mich.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,die Schadensersatzforderung,die,die Schadensersatzforderungen,damages claim,Die Forderung beträgt 5000 Euro.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,die Ordnungswidrigkeit,die,die Ordnungswidrigkeiten,administrative offense,Die Ordnungswidrigkeit wird bestraft.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,die Fahrerlaubnis,die,die Fahrerlaubnisse,driving license,Die Fahrerlaubnis wurde entzogen.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,der Tatverdächtige,der,die Tatverdächtigen,suspect,Der Verdächtige wurde befragt.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,rechtlich,,,legal,Rechtlich ist das in Ordnung.,adjective,Law and consumer rights,b2;law,B2_lesson_general
,B2,die Durchsetzung,die,,enforcement,Die Durchsetzung erfolgt vor Gericht.,noun,Law and consumer rights,b2;law,B2_lesson_general
,B2,der Aktienkurs,der,die Aktienkurse,stock price,Der Kurs ist gestiegen.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,die Inflation,die,,inflation,Die Inflation steigt.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,der Verlust,der,die Verluste,loss,Der Verlust ist hoch.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,die Bilanz,die,die Bilanzen,balance sheet,Die Bilanz ist positiv.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,die Dividende,die,die Dividenden,dividend,Die Dividende wird ausgezahlt.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,der Finanzmarkt,der,die Finanzmärkte,financial market,Der Markt reagiert.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,die Währung,die,die Währungen,currency,Der Euro ist die Währung.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,der Wechselkurs,der,die Wechselkurse,exchange rate,Der Kurs schwankt.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,die Subvention,die,die Subventionen,subsidy,Die Subvention wurde bewilligt.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,der Marktanteil,der,die Marktanteile,market share,Der Anteil beträgt 25 Prozent.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,die Wettbewerbsfähigkeit,die,,competitiveness,Die Fähigkeit muss gestärkt werden.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,der Auftrag,der,die Aufträge,order,Der Auftrag wurde geliefert.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,der Unternehmer,der,die Unternehmer,entrepreneur,Der Unternehmer gründete eine Firma.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,das Eigenkapital,das,,equity capital,Das Kapital beträgt eine Million.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,die Steuererklärung,die,die Steuererklärungen,tax return,Die Erklärung muss abgegeben werden.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,die Aktie,die,die Aktien,stock,Die Aktie fällt.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,der Börsengang,der,die Börsengänge,IPO,Der Börsengang war erfolgreich.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,die Lieferkette,die,die Lieferketten,supply chain,Die Kette wurde unterbrochen.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,das Bruttoinlandsprodukt,das,,GDP,Das BIP ist gestiegen.,noun,Economy and business,b2;economy,B2_lesson_general
,B2,die Prüfung,die,die Prüfungen,exam,Die Prüfung ist schwer.,noun,Education and learning,b2;education,B2_lesson_general
,B2,der Dozent,der,die Dozenten,lecturer,Der Dozent erklärt den Stoff.,noun,Education and learning,b2;education,B2_lesson_general
,B2,die Einschreibung,die,die Einschreibungen,enrollment,Die Einschreibung beginnt im August.,noun,Education and learning,b2;education,B2_lesson_general
,B2,das Stipendium,das,die Stipendien,scholarship,Das Stipendium deckt die Kosten.,noun,Education and learning,b2;education,B2_lesson_general
,B2,die Studiengebühr,die,die Studiengebühren,tuition fee,Die Gebühren sind hoch.,noun,Education and learning,b2;education,B2_lesson_general
,B2,das Praktikum,das,die Praktika,internship,Das Praktikum dauert drei Monate.,noun,Education and learning,b2;education,B2_lesson_general
,B2,die Studienordnung,die,die Studienordnungen,study regulations,Die Ordnung regelt den Ablauf.,noun,Education and learning,b2;education,B2_lesson_general
,B2,die Immatrikulation,die,,matriculation,Die Immatrikulation ist erfolgt.,noun,Education and learning,b2;education,B2_lesson_general
,B2,das Studienfach,das,die Studienfächer,subject,Mein Fach ist Medizin.,noun,Education and learning,b2;education,B2_lesson_general
,B2,die Hausarbeit,die,die Hausarbeiten,term paper,Die Arbeit ist abgegeben.,noun,Education and learning,b2;education,B2_lesson_general
,B2,das Tutorium,das,die Tutorien,tutorial,Das Tutorium hilft beim Lernen.,noun,Education and learning,b2;education,B2_lesson_general
,B2,die Bibliothek,die,die Bibliotheken,library,Die Bibliothek hat viele Bücher.,noun,Education and learning,b2;education,B2_lesson_general
,B2,der Semesterbeitrag,der,die Semesterbeiträge,semester fee,Der Beitrag ist fällig.,noun,Education and learning,b2;education,B2_lesson_general
,B2,die Note,die,die Noten,grade,Die Note ist gut.,noun,Education and learning,b2;education,B2_lesson_general
,B2,die Exmatrikulation,die,,exmatriculation,Die Exmatrikulation ist zum Semesterende.,noun,Education and learning,b2;education,B2_lesson_general
,B2,die Leistungsbewertung,die,die Leistungsbewertungen,assessment,Die Bewertung ist fair.,noun,Education and learning,b2;education,B2_lesson_general
,B2,das Semesterticket,das,die Semestertickets,transit pass,Das Ticket gilt im ganzen Land.,noun,Education and learning,b2;education,B2_lesson_general
,B2,das Auslandssemester,das,,semester abroad,Das Semester war toll.,noun,Education and learning,b2;education,B2_lesson_general
,B2,die Prüfungsordnung,die,die Prüfungsordnungen,exam regulations,Die Ordnung ist online.,noun,Education and learning,b2;education,B2_lesson_general
